title                    	CLASS	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
lcl|U00096.3_cds_AAC73112	HOST	0.2632	0.6316	0.1053	0.0667	0.584	0.631	0.8	*****	0.65	0.524	20	21	0.104762	0
lcl|U00096.3_cds_AAC73113	HOST	0.3774	0.279	0.3322	0.2057	0.185	0.079	0.468	52.14	0.405	0.548	754	776	-0.70232	0.100515
lcl|U00096.3_cds_AAC73114	HOST	0.3333	0.2697	0.2906	0.2672	0.169	0.016	0.43	57.03	0.46	0.585	291	293	-0.580887	0.075085
lcl|U00096.3_cds_AAC73115	HOST	0.3014	0.3043	0.2171	0.4419	0.365	0.268	0.571	45.18	0.58	0.53	417	428	-0.096729	0.084112
lcl|U00096.3_cds_AAC73116	HOST	0.1899	0.481	0.1831	0.3443	0.217	0.232	0.552	44.44	0.678	0.553	87	94	-0.12766	0.085106
lcl|U00096.3_cds_AAC73117	HOST	0.2184	0.3252	0.3125	0.3046	0.146	0.05	0.431	55.64	0.533	0.51	225	244	-0.175	0.053279
lcl|U00096.3_cds_AAC73118	HOST	0.24	0.2675	0.2832	0.3811	0.146	-0.008	0.392	56.65	0.545	0.551	426	455	0.21011	0.136264
lcl|U00096.3_cds_AAC73119	HOST	0.3171	0.3618	0.2262	0.3717	0.594	0.529	0.727	35.83	0.562	0.522	308	317	-0.209779	0.072555
lcl|U00096.3_cds_AAC73120	HOST	0.2911	0.2975	0.2256	0.3974	0.367	0.287	0.574	51.84	0.563	0.547	190	195	-0.013334	0.046154
lcl|U00096.3_cds_AAC73121	HOST	0.297	0.3879	0.1295	0.379	0.548	0.498	0.702	38.52	0.624	0.534	178	188	0.952128	0.143617
lcl|U00096.3_cds_AAC73122	HOST	0.3895	0.2	0.3729	0.2249	0.207	0.085	0.481	51.62	0.352	0.534	216	221	-0.766968	0.081448
lcl|U00096.3_cds_AAC73124	HOST	0.3458	0.3084	0.3846	0.2273	0.194	0.071	0.464	58.73	0.424	0.516	125	126	-1.195238	0.095238
lcl|U00096.3_cds_AAC73125	HOST	0.092	0.2883	0.3162	0.4582	0.133	-0.061	0.347	46.57	0.641	0.523	571	611	-0.178396	0.070376
